Date,Sender,FileName,Department,Url
3/16/2026 13:51:19,ระบบเดิม (นำเข้า),218-2569 เรื่อง ขอเชิญประชุมผู้อำนวยการศูนย์การศึกษาพิเศษ ในเขตการศึกษา ๑๒.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1VJcA5FHz5ue6y31fbVX4TI7JgQW4YBRt/view?usp=drivesdk
2/18/2026 16:36:00,ระบบเดิม (นำเข้า),"161-2569 เรื่อง ส่งคำสั่ง (แก้ไขคำสั่ง หทัยรัตน์,จิณณฉัตร,พัชรี,มนลดา).pdf",บริหารงานบุคคล,https://drive.google.com/file/d/1cXJ7vEQf6Mpjzfam9wJxJQOlvz4iTnNX/view?usp=drivesdk
3/4/2026 8:25:16,ระบบเดิม (นำเข้า),193-2569 เรื่อง ส่งคำสั่ง (ทยากร).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1nWiHkzvYppI1DQJZak1UYLEJKS3Wo1wv/view?usp=drivesdk
3/9/2026 9:14:37,ระบบเดิม (นำเข้า),208-2569 เรื่อง ส่งคำสั่ง (แต่งตั้งข้าราชการครูและบุคลากรทางการศึกษารักษาการในตำแหน่งผู้อำนวยการสถานศึกษา).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/14g6EIYwnVeUl39ALbDOHRW7W2s3mZ2AT/view?usp=drivesdk
3/5/2026 12:32:45,ระบบเดิม (นำเข้า),202-2569 เรื่อง ขอเปลี่ยนแปลงกำหนดการ และเชิญเข้าร่วมโครงการอบรมครูผู้ช่วยเพื่อเตรียมความพร้อมอย่างเข้ม.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1P9X2aHqOPDesyGoVfcdzRccFlPbZxq2F/view?usp=drivesdk
3/5/2026 12:32:43,ระบบเดิม (นำเข้า),198-2569 เรื่อง ซักซ้อมการเลื่อนเงินเดือนข้าราชการและเลื่อนขั้นค่าจ้างลูกจ้างประจำ ครั้งที่๑ (๑ เมษายน ๒๕๖๙).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/15uRZmKIX74NHFf8Tix4IrBIplZdXcGMb/view?usp=drivesdk
2/26/2026 9:42:33,ระบบเดิม (นำเข้า),189-2569 เรื่อง ขอเอกสารหลักฐานเพิ่มเติมเพื่อประกอบการพิจารณาจัดทำคำสั่ง.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1KNVCqf6JUy_CNAUdZfIY6HY76Uaq4m-o/view?usp=drivesdk
2/24/2026 10:51:35,ระบบเดิม (นำเข้า),179-2569 เรื่อง การโอนเปลี่ยนแปลง ปีงบ 2569 ครั้งที่ 314 (พี่เลี้ยง จ้างเหมา ธุรการ 1 เดือน).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1rwogrRJwSMqf1eTEMuidgZr5rUktPUaD/view?usp=drivesdk
2/24/2026 10:51:37,ระบบเดิม (นำเข้า),178-2569  เรื่อง จัดสรรงบประมาณรายจ่ายปีงบ 69 ครูประจำโรงพยาบาล ครั้งที่ 2 ระยะเวลา 1 เดือน.pdf,บริหารงานบุคคล,https://drive.google.com/file/d/1F0HxHFNijLcOEF9h2yYQ8qCTzC76U5rf/view?usp=drivesdk
2/24/2026 10:51:34,ระบบเดิม (นำเข้า),181-2569 เรื่อง การโอนเปลี่ยนแปลง ปีงบ 2569 ครั้งที่ 324 (ครูประจำโรงพยาบาล ระยะเวลา 1 เดือน).pdf,บริหารงานบุคคล,https://drive.google.com/file/d/18Ed9GtcVbkMW9-owGlcPl2AOEh8pezko/view?usp=drivesdk
